formation
I
Twins
Split Backs
Ace
Trips
Empty
Quads
Bunch
Shotgun
Pistol
Single Back
Wishbone
Flexbone
Double Wing
T
Wing T
Power I
Single Wing
Wildcat
Emory & Henry
Swinging Gate
Unbalanced
Victory
Goal Line
Punt
